charging_station_id,latitude,longitude,station_type,power_output_kw,num_connectors,charging_demand_kwh,num_vehicles_charged,avg_wait_time_minutes,traffic_density,ev_adoption_rate,population_density,time_of_day,day_of_week,weather_condition,temperature_c,grid_load_mw,renewable_energy_share,distance_to_nearest_station,poi_density,user_battery_level,is_optimal_location
CS_0012,13.049732792240126,77.67834301849432,Level 2,22.0,6,99.3,7,0.7,460.3,14.8,7421.0,4,4,Extreme,28.3,193.9,83.1,2.91,20.1,54.9,0
CS_0013,12.863701733203483,77.49979697994627,DC Fast Charger,22.0,8,80.2,19,0.2,455.1,27.9,14531.0,19,1,Rain,23.9,239.0,30.7,1.76,17.4,48.1,0
CS_0014,12.854547490162131,77.55096282502547,Level 2,22.0,8,83.4,10,2.9,206.0,29.0,17034.8,16,1,Extreme,31.7,389.4,67.9,2.63,8.2,35.7,1
CS_0015,12.855021352956031,77.40422389898487,Level 2,7.2,7,150.8,11,1.5,225.4,29.4,20180.9,20,5,Clear,24.0,118.4,27.9,3.94,23.3,27.4,1
CS_0016,12.891272672887862,77.402087276191,DC Fast Charger,22.0,4,109.6,5,1.5,427.1,25.3,7853.7,12,7,Extreme,26.5,218.5,37.6,6.87,1.6,24.5,0
CS_0017,12.957426929489671,77.47203798613546,DC Fast Charger,22.0,6,127.1,7,1.3,361.5,9.0,15698.6,10,7,Clear,32.2,334.8,59.1,0.68,20.6,85.8,1
CS_0018,12.929583505592635,77.43024215914173,Level 2,7.2,8,104.5,12,3.4,287.0,8.9,14099.2,10,3,Extreme,33.4,379.1,22.6,3.16,23.1,86.1,0
CS_0019,12.887368742059413,77.47806341038073,Level 2,150.0,4,118.6,2,6.6,482.3,9.9,13328.3,17,1,Rain,32.7,341.8,28.6,0.89,27.8,84.0,0
CS_0020,12.983555868416714,77.45311298835853,DC Fast Charger,100.0,2,112.5,7,5.3,282.3,37.2,12186.8,3,7,Clear,19.5,393.1,48.3,1.33,22.2,82.3,0
CS_0021,12.841848158195614,77.4085560074516,DC Fast Charger,7.2,3,107.6,5,18.6,159.7,12.4,24938.5,3,3,Cloudy,27.1,258.2,19.5,1.89,15.7,18.1,1
CS_0022,12.887643394560566,77.67279124392182,Level 2,7.2,4,133.2,12,12.3,356.0,10.4,8402.1,7,3,Rain,22.2,318.5,20.8,0.54,5.9,41.9,1
CS_0023,12.909908552988108,77.40246693941667,DC Fast Charger,50.0,5,104.7,4,2.7,280.5,39.6,20059.7,17,4,Clear,22.8,364.4,63.6,0.48,12.0,82.2,0
CS_0024,12.93682099526511,77.62082464330113,DC Fast Charger,22.0,9,168.6,19,8.4,141.8,5.2,12538.2,1,7,Rain,24.8,224.3,89.9,1.79,2.8,27.7,0
CS_0025,13.035552788417904,77.44564436607585,Level 2,150.0,2,128.8,3,1.0,118.6,32.2,17981.7,4,7,Cloudy,26.6,124.3,88.9,2.41,13.2,83.3,1
CS_0026,12.859902134647509,77.67366888659988,Level 2,50.0,2,65.8,17,1.2,209.8,34.6,24766.0,18,1,Extreme,25.2,116.6,49.9,6.22,4.4,87.9,1
CS_0027,12.954270331524084,77.66783878187697,Level 2,150.0,6,94.7,4,6.0,486.8,28.2,14554.8,4,3,Cloudy,14.8,376.7,70.8,1.68,4.6,84.3,0
CS_0028,12.977724370658613,77.59617034391079,DC Fast Charger,22.0,5,111.9,9,1.2,115.6,39.1,21489.0,1,7,Extreme,29.3,100.6,59.8,1.79,5.9,50.3,0
CS_0029,12.813935123816,77.60167024494018,Level 2,22.0,6,101.3,2,3.0,262.1,16.7,6518.8,3,5,Extreme,27.5,195.1,10.5,1.07,21.0,59.3,1
CS_0030,12.98226345557043,77.40160174259091,Level 2,22.0,9,120.6,10,1.9,197.1,8.1,16092.1,13,2,Cloudy,34.2,355.2,82.2,3.07,8.9,83.7,0
CS_0031,12.851157237106188,77.69546146983409,Level 2,100.0,7,123.9,9,1.3,474.4,13.4,12643.1,6,3,Cloudy,27.6,219.2,72.8,2.66,20.4,64.6,1
CS_0032,12.819515477895585,77.66334978107275,DC Fast Charger,150.0,2,59.2,8,0.8,219.9,8.5,18983.3,8,2,Cloudy,18.6,159.1,28.4,0.42,23.8,86.0,1
CS_0033,13.084665661176,77.66853186771903,Level 2,150.0,4,138.4,18,4.7,151.8,22.0,5737.4,12,5,Cloudy,21.2,139.2,87.6,0.97,28.6,54.8,0
CS_0034,13.089689609922367,77.59777336111526,Level 2,50.0,7,85.1,11,0.3,265.2,38.8,13954.3,0,7,Clear,19.5,110.4,40.3,0.29,2.5,60.2,0
CS_0035,13.042519204434939,77.50343607859637,DC Fast Charger,7.2,5,82.1,19,6.1,119.2,23.1,14891.3,10,2,Cloudy,26.7,294.2,41.3,0.23,0.6,41.6,0
CS_0036,12.891384130752012,77.66809459472715,DC Fast Charger,22.0,2,82.0,18,11.3,220.7,16.4,21893.9,11,6,Rain,35.9,197.7,63.3,5.37,12.8,29.7,0
CS_0037,12.829301634201915,77.48745507844536,Level 2,22.0,8,124.3,19,2.1,379.6,36.7,12693.5,22,5,Extreme,30.5,103.6,62.3,2.18,4.6,11.4,0
CS_0038,13.005269907953647,77.56881346300267,Level 2,50.0,5,92.0,17,2.7,319.7,26.5,11412.3,14,1,Extreme,28.7,124.9,63.9,4.52,7.0,30.9,0
CS_0039,12.932045748121881,77.42991929170317,Level 2,150.0,7,80.1,17,4.5,54.9,37.5,12781.7,12,6,Rain,22.5,355.6,11.9,1.7,29.0,39.1,0
CS_0040,12.836611470453434,77.67658668903982,DC Fast Charger,100.0,4,87.3,15,5.5,274.1,38.8,13756.2,19,7,Cloudy,30.1,137.0,36.7,0.59,29.9,65.7,1
CS_0041,12.94855307303338,77.44223113733138,Level 2,150.0,3,46.2,16,3.9,415.9,37.8,10090.7,3,7,Extreme,26.5,249.3,11.0,0.6,29.6,44.1,0
CS_0042,12.810316556334566,77.46746904171913,Level 2,100.0,6,74.7,17,5.9,303.3,29.2,5905.1,10,1,Clear,29.3,204.1,37.2,0.56,27.3,25.4,1
CS_0043,13.072796120623634,77.56744024743847,DC Fast Charger,100.0,8,62.8,8,8.3,261.7,22.6,24806.0,16,3,Clear,30.6,160.8,77.3,0.76,29.4,34.0,0
CS_0044,12.877633994480005,77.6292279000639,DC Fast Charger,150.0,6,91.9,7,23.0,236.8,15.2,20309.6,7,4,Extreme,25.7,137.5,31.0,0.46,5.5,38.3,0
CS_0045,12.998756685306194,77.5858053917809,Level 2,22.0,9,119.9,4,2.5,291.5,37.9,24709.0,22,1,Extreme,29.4,291.7,24.1,0.3,0.9,33.6,0
CS_0046,12.893513322826823,77.46964017384005,DC Fast Charger,100.0,9,116.6,7,4.4,83.3,24.1,18255.0,17,1,Extreme,37.2,362.6,83.9,4.59,10.2,18.1,0
CS_0047,12.956020406353343,77.40028291275826,Level 2,50.0,7,137.7,11,2.4,409.9,39.8,22658.9,13,1,Rain,34.3,280.4,28.3,1.71,17.1,33.5,0
CS_0048,12.964013083802984,77.62714517409223,Level 2,50.0,2,131.0,3,1.4,435.4,37.1,14006.2,13,7,Clear,32.5,212.8,48.1,0.5,13.8,38.6,1
CS_0049,12.855456336657658,77.69556219777333,DC Fast Charger,100.0,2,84.1,2,30.1,316.5,18.3,11983.1,23,1,Cloudy,39.9,192.0,36.9,1.7,29.7,82.2,0
CS_0050,13.090875388329367,77.64297393609183,DC Fast Charger,22.0,4,100.6,1,0.1,490.5,35.6,24875.7,3,6,Rain,37.8,208.8,16.9,0.57,6.0,17.0,0
CS_0051,13.032539847008334,77.53806198544699,DC Fast Charger,100.0,9,99.0,6,0.3,299.9,23.7,8390.2,9,5,Clear,35.6,209.9,28.2,2.3,6.2,10.9,0
CS_0052,13.081849682469256,77.67113017841973,DC Fast Charger,50.0,2,35.5,14,4.4,62.2,31.0,9335.0,2,6,Cloudy,22.8,253.2,60.2,4.34,24.5,67.9,1
CS_0053,13.068448205128295,77.52295430193551,Level 2,50.0,2,63.5,4,6.2,258.7,21.8,18363.4,4,3,Cloudy,22.1,210.3,16.6,0.36,12.6,37.1,1
CS_0054,12.979369993643326,77.55748022527304,DC Fast Charger,150.0,2,95.0,16,6.5,229.9,39.6,10106.0,20,6,Extreme,21.7,275.9,13.1,1.6,13.6,79.1,0
CS_0055,13.076562270506935,77.5431389302187,DC Fast Charger,22.0,5,94.8,10,6.1,137.3,19.0,13616.9,12,5,Extreme,32.3,131.3,22.8,0.92,20.3,30.9,0
CS_0056,12.826547750615577,77.53428716179967,Level 2,150.0,5,115.4,5,7.8,290.5,8.4,23644.0,19,1,Rain,31.8,182.5,33.2,3.49,25.8,34.4,0
CS_0057,12.858794858725744,77.63255723078818,Level 2,7.2,9,113.9,11,6.8,254.7,35.0,10315.7,21,5,Clear,30.3,316.5,67.0,0.1,30.0,81.0,0
CS_0058,12.813568186673162,77.55803067218085,Level 2,100.0,3,46.9,1,3.9,127.0,31.5,15213.5,4,4,Cloudy,22.7,327.4,49.0,2.38,29.6,47.5,0
CS_0059,12.89759909922898,77.49501513660756,DC Fast Charger,150.0,9,115.6,17,3.2,277.7,9.4,19733.5,1,7,Rain,32.8,302.8,49.9,2.07,25.6,10.3,0
CS_0060,12.916603186906844,77.47744745029755,Level 2,22.0,5,105.4,14,6.4,425.5,22.7,6436.6,15,4,Rain,26.5,202.3,39.8,3.03,4.7,30.8,0
CS_0061,12.88140470953217,77.41132419509023,DC Fast Charger,100.0,9,118.7,7,6.6,279.2,28.8,6442.0,6,7,Rain,26.9,233.9,72.9,1.6,4.4,68.9,0
CS_0062,13.048621252745578,77.57495854856492,DC Fast Charger,100.0,8,132.0,14,2.0,147.8,19.3,19918.2,8,1,Rain,31.6,154.6,13.4,1.18,21.8,64.5,1
CS_0063,12.907025998008077,77.46898842462032,DC Fast Charger,100.0,8,95.7,1,0.0,358.6,36.8,23401.2,1,3,Cloudy,27.2,389.8,57.0,0.59,16.9,87.8,0
CS_0064,12.884280352906215,77.44444017660491,DC Fast Charger,100.0,6,137.4,6,1.9,441.4,38.0,16836.6,1,6,Clear,27.5,361.0,86.7,4.22,24.5,86.4,0
CS_0065,12.962808824947475,77.5961489891483,Level 2,100.0,8,73.3,7,3.8,205.3,35.4,5763.4,17,2,Rain,20.9,382.5,55.7,4.48,5.2,74.6,1
CS_0066,12.84227726749243,77.60436277734647,Level 2,22.0,7,71.6,11,3.7,82.0,23.6,14036.5,22,3,Extreme,20.4,270.9,69.0,1.38,28.1,72.1,0
CS_0067,13.040659094226212,77.6256464676773,Level 2,7.2,3,112.9,10,2.4,461.7,20.9,19409.2,12,4,Cloudy,33.1,239.7,21.9,4.74,0.6,44.4,1
CS_0068,12.822365193103932,77.55107306890159,Level 2,50.0,2,88.9,3,13.5,357.0,25.5,17635.7,5,4,Cloudy,29.6,360.7,56.0,0.08,5.8,20.4,1
CS_0069,13.096066080980155,77.66821638156117,Level 2,7.2,6,107.8,19,3.2,496.1,23.1,8963.6,3,3,Extreme,23.4,222.5,35.2,3.7,14.7,82.4,1
CS_0070,13.031673430788997,77.68090282601948,DC Fast Charger,50.0,3,159.8,2,0.7,362.5,8.5,6062.5,23,1,Extreme,29.7,180.5,66.7,3.28,28.9,76.1,0
CS_0071,12.859614704460252,77.64221128193775,DC Fast Charger,150.0,7,111.8,12,1.1,105.9,32.6,22786.1,1,5,Cloudy,28.1,250.7,24.4,3.44,25.6,55.8,0
CS_0072,12.801656635137082,77.59067804460246,DC Fast Charger,100.0,3,106.4,12,0.5,244.9,37.9,9517.6,5,4,Extreme,21.9,150.9,56.1,2.08,20.7,86.5,1
CS_0073,13.04463842853645,77.49111628607736,DC Fast Charger,150.0,6,73.9,1,1.6,69.3,22.2,24915.5,12,4,Clear,27.5,330.7,51.1,1.68,23.7,84.5,0
CS_0074,13.012057203154285,77.69488347648607,Level 2,150.0,3,49.0,14,1.8,203.7,7.2,7308.4,0,2,Clear,29.4,232.4,68.3,3.58,9.6,61.3,0
CS_0075,13.018702150412295,77.48224085015758,DC Fast Charger,50.0,6,97.8,11,2.0,403.4,16.3,7287.0,20,5,Clear,19.6,296.5,63.5,2.93,20.6,42.0,0
CS_0076,13.031381104005783,77.46079707659713,DC Fast Charger,22.0,3,132.0,8,9.0,300.0,9.3,18362.6,23,3,Clear,32.4,275.2,69.4,5.53,25.7,72.5,1
CS_0077,12.822213395520228,77.53264623413598,DC Fast Charger,100.0,3,90.3,9,7.3,256.5,39.3,10402.7,0,4,Clear,29.0,275.5,83.9,3.44,20.1,69.2,0
CS_0078,12.907539718563282,77.41705217121373,DC Fast Charger,150.0,8,112.0,18,3.4,431.5,9.8,24487.9,1,6,Extreme,36.5,379.3,55.9,0.8,25.4,68.9,0
CS_0079,12.83476071785754,77.69354833940154,DC Fast Charger,7.2,3,142.8,13,2.9,129.7,7.8,9740.4,16,5,Extreme,34.4,116.7,42.0,0.33,22.6,34.8,0
CS_0080,13.058931027762679,77.57653006692493,DC Fast Charger,100.0,6,142.0,4,2.4,292.4,23.3,17472.2,13,3,Rain,36.1,284.1,49.9,0.35,10.7,55.0,1
CS_0081,12.986989438048267,77.56708562749925,Level 2,22.0,3,112.9,16,0.1,341.3,7.3,13128.4,19,7,Clear,24.5,178.7,65.4,3.89,20.3,26.2,0
CS_0082,12.899269407455796,77.59673888396992,Level 2,100.0,9,105.1,3,12.6,466.6,27.2,6805.9,8,5,Extreme,31.0,137.4,29.0,2.68,14.7,83.3,0
CS_0083,12.819067505085808,77.54910709433317,DC Fast Charger,150.0,8,54.4,4,1.7,123.6,35.4,19159.9,19,2,Rain,28.4,116.4,25.3,8.49,27.0,47.6,1
CS_0084,12.8932946965147,77.40961905512837,DC Fast Charger,7.2,7,81.1,4,9.2,368.0,13.8,20808.5,22,4,Rain,35.7,349.0,17.1,4.49,4.5,86.9,0
CS_0085,12.897554996608024,77.58369338665213,DC Fast Charger,150.0,7,91.6,8,6.8,70.6,37.5,21531.3,11,4,Extreme,34.8,219.6,42.1,5.19,28.1,83.1,0
CS_0086,13.01888185350142,77.61485216308694,DC Fast Charger,22.0,5,74.4,11,0.6,305.3,27.6,14799.7,4,7,Cloudy,36.4,309.7,16.2,2.29,13.0,77.1,0
CS_0087,12.991267241406565,77.52502471818723,DC Fast Charger,50.0,5,107.5,3,1.9,340.2,10.7,24518.0,20,2,Extreme,26.8,379.7,19.2,0.68,13.7,56.6,0
CS_0088,13.066163822772898,77.62718867162135,Level 2,7.2,5,157.3,19,3.3,428.0,27.6,20995.4,5,2,Rain,21.9,356.4,80.4,1.31,23.9,65.4,0
CS_0089,12.941664477548585,77.46810038980153,Level 2,22.0,5,145.5,6,1.5,195.7,7.5,13802.4,5,1,Extreme,23.5,172.7,58.0,0.06,10.0,59.1,0
CS_0090,12.835878273781491,77.46638297731987,DC Fast Charger,22.0,9,107.3,3,2.6,363.5,17.2,6989.2,16,3,Rain,30.1,290.6,86.2,2.05,4.1,16.3,0
CS_0091,13.013973436166898,77.44842509630628,Level 2,150.0,5,123.4,4,1.7,91.7,5.6,10087.6,14,4,Clear,21.9,189.4,39.4,0.53,25.1,58.4,0
CS_0092,13.028235514585068,77.51159842793675,DC Fast Charger,150.0,7,78.1,4,5.0,150.1,20.5,20442.8,18,5,Clear,29.1,114.7,38.9,5.15,18.5,23.8,1
CS_0093,12.968383159270848,77.65410361061673,DC Fast Charger,150.0,2,143.9,2,2.2,398.1,34.1,22593.2,17,2,Clear,27.0,372.4,78.5,0.84,28.3,63.2,1
CS_0094,13.031290153986369,77.64837361864473,Level 2,50.0,3,53.1,16,2.1,451.7,29.4,18248.7,22,1,Extreme,16.6,311.5,56.2,1.32,26.1,69.2,0
CS_0095,12.948138678909318,77.51484726238905,Level 2,100.0,7,127.4,5,1.6,57.3,12.0,12758.4,19,7,Clear,29.3,350.5,55.2,1.14,2.7,59.2,0
CS_0096,12.956819848814598,77.57673562079407,Level 2,100.0,7,114.9,15,8.1,124.9,11.4,12119.7,11,7,Clear,31.4,181.9,54.7,1.28,23.3,88.6,0
CS_0097,12.928262305507564,77.61624489494248,Level 2,150.0,4,77.3,5,5.2,144.6,29.6,12175.8,8,2,Rain,34.0,183.7,74.9,4.87,9.0,29.5,1
CS_0098,12.80762573802323,77.47236203238842,DC Fast Charger,150.0,2,93.7,12,6.4,283.7,28.3,14829.4,18,2,Cloudy,25.3,161.3,63.9,1.48,17.8,63.4,0
CS_0099,12.832367428097992,77.45044232576844,Level 2,50.0,6,66.0,19,2.5,119.4,10.0,19516.3,6,6,Extreme,22.7,185.5,25.1,2.12,11.4,39.4,1
CS_0100,12.809428755706021,77.6916287979637,Level 2,100.0,8,67.3,15,9.1,489.2,28.5,8262.8,14,6,Clear,26.1,131.8,66.2,2.58,24.6,32.5,0
CS_0101,12.990923123379135,77.58526719396289,Level 2,50.0,2,52.3,6,2.7,224.5,32.3,5418.0,4,4,Extreme,22.0,319.7,53.4,3.09,26.7,43.1,0
CS_0102,12.894306794322898,77.6944247165501,DC Fast Charger,22.0,4,123.0,1,1.0,114.3,31.8,6529.1,1,3,Clear,30.7,391.3,19.5,0.32,13.4,89.7,0
CS_0103,12.952571207349411,77.50132679613968,DC Fast Charger,100.0,7,136.2,5,3.6,398.4,19.2,18317.0,16,6,Extreme,28.6,372.4,35.4,0.1,7.6,63.6,1
CS_0104,13.072269942177828,77.61090950999224,DC Fast Charger,150.0,2,35.1,19,2.9,302.8,33.5,21974.1,10,4,Clear,22.0,144.0,71.1,0.82,10.8,62.3,1
CS_0105,12.874787668744663,77.46678109096237,Level 2,7.2,3,155.1,11,0.5,461.3,18.6,13131.5,9,5,Rain,25.9,163.3,84.3,0.2,7.4,44.8,0
CS_0106,12.92311487691069,77.47836005138218,Level 2,22.0,5,99.6,14,5.4,471.0,27.6,11753.3,20,2,Rain,35.8,208.1,47.8,2.64,21.0,40.8,1
CS_0107,13.026665341562914,77.5535706363809,Level 2,7.2,3,108.7,14,8.4,435.1,31.6,5399.8,18,6,Cloudy,27.7,159.9,67.1,3.87,7.6,47.2,0
CS_0108,12.868639449647487,77.49588543765243,DC Fast Charger,50.0,2,55.8,2,2.2,304.0,31.4,6217.8,14,5,Clear,24.4,306.0,13.9,1.79,26.9,64.0,0
CS_0109,12.823093972948639,77.45028646915218,Level 2,50.0,7,139.6,5,7.1,150.2,17.1,20094.9,6,5,Rain,25.4,324.2,51.2,0.84,6.5,32.5,1
CS_0110,12.886925435874131,77.4788642105968,Level 2,50.0,7,106.0,9,4.4,242.9,25.0,6792.0,8,2,Clear,28.9,326.9,50.4,0.72,1.3,35.2,0
CS_0111,12.848366386176203,77.41072451833976,DC Fast Charger,150.0,4,134.2,17,1.6,267.1,26.5,21567.5,3,6,Rain,37.1,275.1,89.6,1.45,26.1,77.4,0
CS_0112,13.078909295702772,77.61132708644325,Level 2,50.0,6,136.6,19,2.1,489.0,13.2,20621.7,8,7,Rain,22.7,176.1,89.7,4.17,11.1,72.8,1
CS_0113,13.042436113869325,77.54763499712577,Level 2,7.2,3,140.0,15,14.6,163.7,5.3,21389.3,21,6,Clear,35.1,136.3,47.9,0.34,6.6,75.2,0
CS_0114,12.990021126953128,77.42827291992137,Level 2,22.0,4,80.6,2,1.2,245.6,8.5,18718.6,0,3,Rain,26.5,246.4,22.9,3.2,18.8,75.0,0
CS_0115,13.061438177056315,77.45150819793855,Level 2,150.0,6,93.8,9,0.8,303.1,6.2,5420.8,6,5,Extreme,34.4,366.7,50.8,0.51,26.1,41.2,0
CS_0116,13.041101623069734,77.4307603614338,DC Fast Charger,22.0,5,81.6,11,0.4,226.0,15.5,13868.5,15,5,Extreme,22.2,182.3,64.3,0.5,11.6,50.4,0
CS_0117,12.85597101766581,77.58377784248276,DC Fast Charger,50.0,3,126.9,6,10.4,104.3,16.4,8143.6,2,5,Clear,35.8,197.9,69.2,0.41,4.9,12.0,0
CS_0118,13.067767699546993,77.42826310908376,DC Fast Charger,100.0,7,110.0,15,5.6,450.7,35.3,11762.0,1,6,Cloudy,36.9,315.3,24.7,0.33,20.9,56.3,1
CS_0119,12.961802672574695,77.62628469991057,Level 2,150.0,3,132.1,4,0.6,410.5,9.4,16148.1,0,2,Extreme,37.3,202.8,70.3,0.16,15.6,23.1,0
CS_0120,13.042232046549218,77.40615327579613,Level 2,50.0,7,133.4,15,7.3,165.4,11.5,19638.8,3,3,Clear,28.0,361.6,86.2,4.4,18.0,39.1,0
CS_0121,13.068827389977049,77.47481273639877,DC Fast Charger,150.0,7,48.2,18,5.0,251.4,26.7,9643.5,19,2,Clear,28.0,359.7,23.8,0.23,16.5,79.4,1
CS_0122,12.89540104249156,77.66720000276757,Level 2,100.0,5,140.5,7,21.4,380.9,21.4,11696.6,18,2,Cloudy,24.3,370.0,48.2,0.54,8.0,39.2,1
CS_0123,12.833015577358303,77.61555939543668,DC Fast Charger,7.2,5,128.5,16,3.6,488.1,39.8,9199.2,0,3,Cloudy,23.1,331.0,79.2,3.06,26.8,48.6,0
CS_0124,12.868380548762582,77.4218904998777,DC Fast Charger,7.2,2,88.9,3,3.6,125.4,31.7,24684.8,3,5,Extreme,32.5,117.7,34.4,0.18,19.7,35.5,0
CS_0125,12.928132336587877,77.64633783134556,Level 2,7.2,6,110.5,12,1.4,337.1,14.5,23583.6,14,1,Extreme,28.1,259.2,15.3,0.42,16.8,75.3,0
CS_0126,13.045404429776747,77.54791053646207,DC Fast Charger,100.0,4,96.3,7,1.1,417.9,30.3,18074.3,9,3,Clear,30.4,242.9,87.9,0.52,10.2,30.0,0
CS_0127,13.058219174976903,77.65403490815065,DC Fast Charger,22.0,8,118.5,9,6.6,61.7,13.0,21496.6,0,7,Extreme,30.1,238.6,67.5,2.1,12.3,10.4,0
CS_0128,12.802085639159358,77.58022193233512,DC Fast Charger,100.0,8,88.9,10,2.3,414.9,28.9,19377.4,23,3,Extreme,21.5,296.5,22.0,2.79,16.6,22.8,0
CS_0129,12.95322419077327,77.60454990960986,DC Fast Charger,100.0,5,114.4,1,6.4,405.5,6.3,21971.9,21,7,Extreme,21.9,325.6,46.5,2.26,13.1,85.2,0
CS_0130,12.925223300944634,77.69805046811871,DC Fast Charger,50.0,2,102.0,12,7.4,465.6,12.0,23719.7,12,4,Rain,31.9,262.4,57.0,1.42,18.8,30.4,1
CS_0131,12.86663234314122,77.4697006637772,DC Fast Charger,7.2,6,87.0,18,11.7,88.0,8.6,23608.9,11,6,Clear,30.2,326.2,83.5,11.17,26.4,25.5,0
CS_0132,12.835959610200105,77.58718367242842,Level 2,150.0,9,105.7,1,2.8,105.9,20.0,16491.4,17,7,Cloudy,27.4,172.9,33.3,2.42,24.4,46.7,0
CS_0133,12.901284551421089,77.53809641701723,DC Fast Charger,22.0,6,181.2,18,0.5,283.4,24.4,24293.2,1,6,Extreme,30.0,292.2,75.5,0.64,7.1,29.7,0
CS_0134,13.082872911173755,77.41183558587682,DC Fast Charger,150.0,3,79.4,7,0.1,442.2,14.1,13151.2,12,1,Clear,35.2,283.5,10.1,3.9,11.4,41.4,0
CS_0135,12.896960879606226,77.40434119245087,Level 2,50.0,2,92.5,17,1.7,443.5,39.2,8869.2,14,1,Cloudy,32.6,200.4,80.2,1.55,29.0,24.3,0
CS_0136,12.95563718652301,77.43576857334536,Level 2,50.0,2,80.0,13,13.5,365.0,19.4,9629.5,6,1,Rain,29.3,251.2,70.8,3.52,8.8,80.2,0
CS_0137,13.010905687668552,77.59472752216156,DC Fast Charger,22.0,3,83.1,10,6.9,251.9,24.7,14171.0,18,2,Clear,30.2,396.9,85.4,0.01,5.5,23.3,0
CS_0138,12.909088880713789,77.57014892637402,Level 2,150.0,8,124.5,14,4.1,154.0,21.2,10062.4,1,6,Extreme,35.4,309.9,41.7,2.85,13.1,22.0,0
CS_0139,13.091534624816289,77.56602886834912,Level 2,22.0,4,121.5,1,1.4,263.6,35.2,7542.2,0,7,Rain,25.9,233.4,87.4,1.85,27.2,72.8,0
CS_0140,13.088734188482633,77.40955702875848,DC Fast Charger,22.0,8,99.8,6,6.2,147.7,18.0,12935.3,13,4,Cloudy,29.2,312.4,73.7,2.71,18.9,63.9,1
CS_0141,12.87553468874761,77.540790898908,Level 2,7.2,5,130.8,4,6.8,397.9,38.0,16624.6,1,5,Clear,27.9,214.9,21.5,2.55,20.7,46.1,0
CS_0142,12.949174551767715,77.67738684535276,DC Fast Charger,150.0,7,123.8,19,1.3,239.7,33.2,24359.9,17,6,Cloudy,24.8,195.2,28.5,0.31,7.6,43.6,1
CS_0143,12.890263492945031,77.5192775607932,DC Fast Charger,7.2,3,95.1,15,6.2,292.7,7.6,17410.9,14,1,Cloudy,27.0,250.7,74.3,3.4,4.5,24.8,0
CS_0144,12.88545214831324,77.58747674093654,DC Fast Charger,7.2,5,54.0,19,0.6,356.4,35.9,20478.3,4,5,Extreme,22.9,234.7,46.7,0.04,29.7,76.4,1
CS_0145,12.811066084206361,77.63394560268695,DC Fast Charger,7.2,7,124.9,12,0.5,286.9,11.4,18643.9,19,1,Extreme,33.3,385.1,70.9,1.22,8.7,65.6,1
CS_0146,12.982869300193968,77.63517758374257,Level 2,100.0,2,105.1,14,0.3,389.9,7.1,12693.4,13,5,Clear,25.8,393.6,46.6,0.59,21.4,58.2,0
