Timestamp,Equipment_ID,Pressure,Temperature,Vibration,Airflow_Rate,Chemical_Concentration,Maintenance_Last_Date,Maintenance_Frequency,Operational_Hours,Environmental_Temperature,Environmental_Humidity,Worker_Presence,Safety_Protocol_Compliance,Incident_History,Incident_Risk
2025-06-01 06:30:00,SD_002,4.67,79.21,0.67,2.4,9.35,2025-05-27,8,76.75,28.43,68.24,3,False,1,False
2025-06-01 06:45:00,AHU_001,5.29,81.02,0.54,2.7,11.76,2025-05-24,10,120.29,25.89,42.02,9,True,2,False
2025-06-01 07:00:00,AHU_001,4.62,82.68,0.54,2.34,11.46,2025-06-01,4,93.36,22.63,42.75,4,True,0,False
2025-06-01 07:15:00,SD_002,5.06,77.85,0.52,2.8,9.4,2025-05-25,6,118.48,27.13,39.43,0,False,0,False
2025-06-01 07:30:00,SD_001,4.4,79.17,0.37,2.67,11.64,2025-05-22,2,39.16,27.81,44.31,9,True,0,False
2025-06-01 07:45:00,AHU_002,4.67,81.21,0.41,2.79,11.86,2025-04-14,8,23.76,26.6,31.58,7,False,1,False
2025-06-01 08:00:00,SD_002,4.96,84.34,0.49,3.06,7.82,2025-03-17,0,118.11,26.73,88.71,9,True,1,False
2025-06-01 08:15:00,AHU_002,5.91,76.04,0.5,1.73,11.92,2025-05-14,9,196.63,27.97,34.11,5,True,2,False
2025-06-01 08:30:00,SD_002,5.05,64.9,0.56,2.73,9.76,2025-04-02,0,51.58,25.7,73.7,5,True,1,False
2025-06-01 08:45:00,SD_002,5.83,83.4,0.43,2.64,9.51,2025-03-04,3,0.31,28.15,46.19,1,True,1,False
2025-06-01 09:00:00,AHU_002,5.11,84.64,0.51,2.63,9.78,2025-05-09,5,182.57,27.55,59.83,3,False,1,False
2025-06-01 09:15:00,AHU_001,4.81,81.0,0.51,2.57,12.48,2025-03-13,8,26.32,27.74,49.92,5,True,1,False
2025-06-01 09:30:00,AHU_001,5.77,81.34,0.51,2.57,12.48,2025-04-04,8,173.44,29.94,88.24,2,True,2,False
2025-06-01 09:45:00,SD_001,5.22,77.18,0.5,2.6,10.95,2025-05-15,1,102.86,28.38,51.52,10,True,2,False
2025-06-01 10:00:00,AHU_002,4.68,82.5,0.36,2.77,10.54,2025-05-24,4,35.76,21.3,56.87,9,False,2,False
2025-06-01 10:15:00,SD_001,5.24,84.27,0.27,2.75,9.79,2025-04-09,4,39.38,29.13,89.32,0,True,0,False
2025-06-01 10:30:00,SD_002,4.85,80.28,0.41,2.49,15.4,2025-04-29,1,105.44,30.7,35.95,4,True,1,False
2025-06-01 10:45:00,SD_001,4.01,92.46,0.45,2.44,8.63,2025-04-14,10,158.93,30.72,47.74,3,True,0,False
2025-06-01 11:00:00,SD_002,5.47,72.18,0.38,2.51,9.11,2025-03-09,8,162.13,31.16,53.13,5,True,2,False
2025-06-01 11:15:00,AHU_002,5.55,80.81,0.49,2.38,10.6,2025-05-21,8,47.6,28.16,56.98,10,True,1,False
2025-06-01 11:30:00,AHU_002,5.92,74.13,0.61,3.03,8.19,2025-03-24,3,142.2,27.46,87.44,5,True,0,False
2025-06-01 11:45:00,AHU_002,5.21,84.4,0.57,2.12,12.1,2025-03-21,2,95.92,25.52,52.91,4,True,1,False
2025-06-01 12:00:00,AHU_002,4.88,72.09,0.55,2.72,7.06,2025-04-17,4,124.08,22.73,46.89,8,True,3,False
2025-06-01 12:15:00,SD_001,5.42,73.33,0.6,2.72,8.57,2025-05-17,4,25.93,28.17,48.86,1,True,0,False
2025-06-01 12:30:00,SD_002,5.42,76.83,0.41,2.34,9.2,2025-03-16,6,86.87,26.81,37.58,7,True,2,False
2025-06-01 12:45:00,AHU_001,5.82,81.33,0.45,2.59,7.99,2025-03-27,7,24.65,24.4,38.44,3,True,1,False
2025-06-01 13:00:00,AHU_002,4.98,77.02,0.56,2.88,12.08,2025-05-25,4,100.51,29.48,44.53,0,True,2,False
2025-06-01 13:15:00,AHU_002,4.92,77.07,0.45,2.4,7.37,2025-05-27,7,12.29,24.77,40.32,2,True,0,False
2025-06-01 13:30:00,SD_002,4.64,79.1,0.46,2.89,8.07,2025-03-03,0,26.72,28.69,50.26,1,True,0,False
2025-06-01 13:45:00,AHU_001,5.27,78.79,0.69,2.84,8.65,2025-04-04,8,65.02,26.96,38.41,9,True,4,True
2025-06-01 14:00:00,AHU_002,4.23,87.44,0.51,2.29,11.69,2025-03-25,2,102.23,30.84,63.94,2,True,0,False
2025-06-01 14:15:00,AHU_001,5.39,83.43,0.68,2.17,12.9,2025-05-06,6,22.92,32.06,87.04,0,True,0,False
2025-06-01 14:30:00,AHU_002,5.29,78.38,0.32,2.55,11.04,2025-04-27,1,175.81,29.13,59.89,2,True,0,False
2025-06-01 14:45:00,SD_001,5.29,90.49,0.44,2.13,7.37,2025-03-15,1,56.06,24.23,56.79,10,False,0,False
2025-06-01 15:00:00,SD_001,5.07,82.46,0.54,1.63,8.76,2025-04-04,4,116.76,26.24,41.15,9,False,2,False
2025-06-01 15:15:00,AHU_001,5.77,75.16,0.51,2.35,13.14,2025-04-30,6,28.4,28.69,43.34,9,True,1,False
2025-06-01 15:30:00,SD_002,5.44,81.28,0.29,3.15,10.06,2025-03-04,10,147.73,26.11,67.32,6,True,1,False
2025-06-01 15:45:00,SD_002,4.7,82.68,0.48,2.37,7.11,2025-05-28,8,107.93,30.4,37.07,4,True,0,False
2025-06-01 16:00:00,SD_001,4.71,76.56,0.75,2.61,14.39,2025-04-27,2,186.84,26.65,40.62,6,True,0,False
2025-06-01 16:15:00,SD_002,4.56,74.74,0.52,2.71,8.86,2025-05-06,10,137.44,28.55,65.12,4,True,0,False
2025-06-01 16:30:00,SD_002,5.28,80.43,0.56,2.49,9.86,2025-05-31,2,196.31,28.98,74.11,2,True,1,False
2025-06-01 16:45:00,SD_002,4.5,78.2,0.44,2.4,8.63,2025-04-09,3,162.49,28.74,86.51,6,True,2,False
2025-06-01 17:00:00,AHU_001,5.54,87.4,0.52,2.87,8.09,2025-05-02,10,106.01,24.51,40.61,2,True,0,False
2025-06-01 17:15:00,AHU_001,5.66,83.71,0.5,2.51,12.59,2025-03-11,7,45.01,31.47,73.06,2,True,0,False
2025-06-01 17:30:00,SD_002,4.56,76.8,0.61,2.47,10.39,2025-04-30,1,68.08,27.53,44.59,7,True,0,False
2025-06-01 17:45:00,SD_001,4.91,82.13,0.61,2.74,10.63,2025-03-15,5,75.09,26.21,39.62,7,True,1,False
2025-06-01 18:00:00,SD_002,5.01,86.34,0.54,2.19,7.44,2025-04-05,7,182.63,22.56,79.26,10,True,3,False
2025-06-01 18:15:00,AHU_002,5.44,73.03,0.51,2.12,9.4,2025-05-26,10,51.47,22.59,47.88,5,True,1,False
2025-06-01 18:30:00,SD_001,5.8,74.89,0.33,2.01,8.76,2025-05-20,8,144.43,25.18,49.9,7,True,0,False
2025-06-01 18:45:00,AHU_001,4.16,79.94,0.33,2.67,8.35,2025-04-13,1,117.63,25.1,53.75,0,True,2,False
2025-06-01 19:00:00,AHU_002,4.84,80.18,0.51,2.45,10.93,2025-05-22,6,34.37,23.19,32.76,2,True,0,False
2025-06-01 19:15:00,SD_002,4.87,79.74,0.59,2.75,9.32,2025-05-25,2,53.66,25.42,82.65,1,True,0,False
2025-06-01 19:30:00,SD_002,4.3,78.45,0.63,2.52,11.39,2025-04-24,2,56.79,29.99,88.27,5,True,1,False
2025-06-01 19:45:00,SD_001,4.76,78.37,0.41,2.09,11.44,2025-05-07,4,35.84,28.14,42.32,6,True,1,False
2025-06-01 20:00:00,SD_001,5.21,81.92,0.35,2.39,9.13,2025-04-15,9,156.9,23.47,34.56,10,True,0,False
2025-06-01 20:15:00,SD_002,4.86,85.67,0.59,2.77,10.91,2025-05-20,7,62.65,30.1,59.4,4,True,0,False
2025-06-01 20:30:00,SD_002,4.23,77.6,0.42,2.42,9.08,2025-04-27,4,106.75,30.03,69.5,2,True,1,False
2025-06-01 20:45:00,SD_001,6.44,92.19,0.34,2.86,8.42,2025-03-17,7,147.36,22.35,59.6,0,True,0,False
2025-06-01 21:00:00,AHU_002,5.13,89.8,0.45,2.36,7.88,2025-04-29,3,193.74,31.17,69.15,0,True,4,True
2025-06-01 21:15:00,AHU_001,5.06,86.65,0.45,2.72,10.17,2025-03-16,10,182.03,28.96,87.07,2,True,0,False
2025-06-01 21:30:00,SD_001,4.45,83.11,0.63,1.97,8.52,2025-04-29,6,42.42,30.06,49.89,2,True,0,False
2025-06-01 21:45:00,AHU_002,5.13,90.04,0.59,2.43,12.76,2025-03-16,4,178.82,24.09,83.3,1,True,1,False
2025-06-01 22:00:00,SD_002,4.92,78.55,0.43,2.38,13.25,2025-04-06,9,169.23,26.01,62.68,2,True,2,False
2025-06-01 22:15:00,AHU_001,4.06,75.84,0.64,2.08,10.95,2025-05-18,2,5.98,25.55,72.79,4,True,1,False
2025-06-01 22:30:00,AHU_002,4.46,77.37,0.51,2.83,10.49,2025-03-08,4,176.92,24.86,79.93,10,True,1,False
2025-06-01 22:45:00,AHU_001,5.4,74.99,0.61,2.31,10.04,2025-03-03,8,106.89,24.99,45.98,4,True,0,False
2025-06-01 23:00:00,AHU_001,5.97,80.61,0.63,2.28,14.75,2025-05-28,6,38.32,24.25,51.31,10,True,0,False
2025-06-01 23:15:00,AHU_001,5.18,81.5,0.47,2.89,13.92,2025-04-21,7,199.06,28.84,32.4,10,True,0,False
2025-06-01 23:30:00,AHU_002,5.55,81.0,0.56,2.55,9.59,2025-04-21,8,62.38,27.57,76.75,0,True,1,False
2025-06-01 23:45:00,AHU_002,4.92,79.94,0.46,2.73,9.6,2025-03-19,0,37.53,30.31,34.25,2,True,1,False
2025-06-02 00:00:00,SD_002,4.96,80.67,0.59,1.99,10.65,2025-04-15,6,34.6,19.79,55.22,4,True,1,False
2025-06-02 00:15:00,AHU_001,5.55,88.68,0.51,2.26,7.64,2025-04-15,9,105.27,28.21,79.12,3,True,0,False
2025-06-02 00:30:00,SD_001,5.83,83.1,0.6,3.13,6.4,2025-03-15,7,34.96,25.17,36.19,1,True,4,True
2025-06-02 00:45:00,SD_001,5.65,84.61,0.65,2.76,7.32,2025-03-16,7,103.97,25.58,89.61,9,True,0,False
2025-06-02 01:00:00,SD_001,4.47,80.95,0.55,2.18,9.4,2025-05-02,8,147.44,26.15,63.87,10,True,0,False
2025-06-02 01:15:00,AHU_002,4.97,71.92,0.49,2.57,8.11,2025-03-17,5,189.73,34.08,37.5,4,True,1,False
2025-06-02 01:30:00,SD_002,5.14,70.93,0.49,2.2,12.91,2025-03-09,6,73.52,24.8,30.85,2,True,0,False
2025-06-02 01:45:00,AHU_002,4.87,90.41,0.2,2.92,7.06,2025-03-16,7,195.18,28.75,50.18,4,True,1,False
2025-06-02 02:00:00,AHU_001,5.19,77.34,0.43,1.82,7.33,2025-03-05,8,197.78,32.33,43.23,0,True,4,True
2025-06-02 02:15:00,SD_001,5.41,76.92,0.59,2.58,6.33,2025-05-22,1,117.61,23.4,57.81,10,True,1,False
2025-06-02 02:30:00,AHU_002,5.5,81.23,0.6,2.58,8.71,2025-05-05,3,60.5,26.84,57.97,10,True,1,False
2025-06-02 02:45:00,SD_001,5.84,82.75,0.43,2.17,9.2,2025-03-27,3,170.61,23.06,39.35,6,True,2,False
2025-06-02 03:00:00,AHU_002,4.84,83.38,0.52,2.42,9.84,2025-03-28,3,10.65,24.7,69.54,4,True,0,False
2025-06-02 03:15:00,SD_001,4.32,88.87,0.48,2.61,9.93,2025-03-04,0,88.13,28.38,54.75,10,True,1,False
2025-06-02 03:30:00,AHU_001,5.18,87.5,0.57,1.97,8.76,2025-03-31,10,126.76,26.85,67.97,8,True,0,False
2025-06-02 03:45:00,SD_001,5.94,75.95,0.72,2.12,7.9,2025-04-20,1,196.26,22.01,81.82,6,True,4,True
2025-06-02 04:00:00,AHU_001,4.76,84.84,0.57,2.45,10.84,2025-04-14,8,139.08,28.68,40.16,10,True,1,False
2025-06-02 04:15:00,AHU_001,5.34,78.08,0.43,2.25,8.2,2025-03-22,7,46.23,32.38,55.98,7,True,3,False
2025-06-02 04:30:00,AHU_002,5.35,79.31,0.49,2.36,11.56,2025-05-23,9,170.7,28.7,80.48,6,True,0,False
2025-06-02 04:45:00,AHU_002,5.1,74.53,0.64,2.49,7.04,2025-04-13,0,131.54,25.49,73.34,8,False,0,False
2025-06-02 05:00:00,AHU_002,5.0,71.53,0.36,2.23,8.5,2025-03-10,7,172.89,24.0,48.32,8,True,2,False
2025-06-02 05:15:00,AHU_001,4.54,79.84,0.44,2.49,14.08,2025-05-14,9,139.17,27.16,75.38,0,True,0,False
2025-06-02 05:30:00,SD_002,3.86,75.22,0.57,2.59,14.36,2025-03-14,2,69.53,23.82,52.92,1,True,0,False
2025-06-02 05:45:00,SD_002,4.44,84.64,0.63,2.73,7.28,2025-03-18,3,23.32,30.71,88.28,5,True,2,False
2025-06-02 06:00:00,AHU_001,4.8,78.59,0.56,2.13,12.41,2025-03-21,7,138.35,26.34,45.29,7,True,3,False
2025-06-02 06:15:00,AHU_001,5.55,81.54,0.44,2.31,13.23,2025-05-28,7,40.63,22.18,40.69,3,True,0,False
2025-06-02 06:30:00,AHU_002,4.95,86.84,0.55,2.68,12.13,2025-03-23,10,13.09,25.58,82.72,8,True,0,False
2025-06-02 06:45:00,AHU_002,4.74,72.57,0.54,2.06,9.87,2025-03-21,2,58.55,25.2,59.81,1,True,4,True
2025-06-02 07:00:00,AHU_002,4.55,76.38,0.54,2.53,6.14,2025-04-30,3,63.4,29.41,74.65,5,True,1,False
2025-06-02 07:15:00,SD_002,5.33,80.9,0.49,2.51,10.17,2025-04-23,2,198.5,28.34,87.01,7,False,2,False
2025-06-02 07:30:00,SD_002,5.68,81.56,0.51,1.72,10.82,2025-05-29,7,112.69,27.41,41.84,1,True,1,False
2025-06-02 07:45:00,AHU_001,5.53,85.52,0.41,2.35,10.48,2025-05-15,7,198.0,25.05,36.01,0,True,2,False
2025-06-02 08:00:00,SD_002,5.3,84.34,0.75,2.6,10.95,2025-05-05,7,154.49,21.88,42.99,6,True,1,False
2025-06-02 08:15:00,AHU_002,4.26,80.48,0.52,2.44,8.38,2025-04-23,0,98.89,31.12,36.88,9,True,1,False
2025-06-02 08:30:00,AHU_002,4.82,81.52,0.55,2.36,9.03,2025-04-26,4,56.84,26.99,87.72,8,True,2,False
2025-06-02 08:45:00,AHU_002,5.97,81.66,0.48,2.55,5.21,2025-05-26,0,44.84,31.5,72.81,7,True,1,False
2025-06-02 09:00:00,AHU_002,5.56,72.65,0.58,2.8,11.78,2025-05-09,8,46.86,28.07,69.35,7,True,4,True
2025-06-02 09:15:00,AHU_002,4.23,79.22,0.37,2.66,8.2,2025-03-22,6,172.29,24.04,87.1,6,True,1,False
2025-06-02 09:30:00,SD_001,4.97,81.24,0.33,2.27,9.5,2025-05-18,0,79.28,28.52,88.71,7,True,1,False
2025-06-02 09:45:00,AHU_001,5.18,82.29,0.5,2.06,10.51,2025-05-04,8,90.23,22.99,84.78,7,True,3,False
2025-06-02 10:00:00,AHU_001,4.62,75.38,0.71,2.66,8.88,2025-04-26,5,123.44,21.55,69.59,3,True,1,False
2025-06-02 10:15:00,SD_002,3.85,73.66,0.62,2.15,7.85,2025-05-30,8,11.21,29.24,59.8,2,True,2,False
2025-06-02 10:30:00,AHU_002,5.05,78.83,0.42,2.34,10.51,2025-05-27,6,94.95,25.09,32.64,3,True,2,False
2025-06-02 10:45:00,SD_001,4.61,89.84,0.55,2.56,6.43,2025-05-22,6,3.2,30.94,82.62,7,True,1,False
2025-06-02 11:00:00,AHU_002,4.61,75.9,0.44,2.84,11.53,2025-04-19,10,148.97,23.77,36.01,6,True,0,False
2025-06-02 11:15:00,AHU_002,4.82,85.87,0.54,2.89,11.32,2025-04-06,6,4.57,31.92,35.17,4,True,0,False
2025-06-02 11:30:00,SD_002,4.93,87.92,0.55,2.52,8.9,2025-05-25,7,141.02,30.11,69.37,1,True,0,False
2025-06-02 11:45:00,SD_001,5.0,80.23,0.59,2.35,9.01,2025-03-30,0,40.16,29.08,79.88,8,True,1,False
2025-06-02 12:00:00,SD_001,4.56,76.6,0.34,2.14,8.02,2025-04-20,9,162.51,26.42,71.13,9,False,2,False
2025-06-02 12:15:00,AHU_001,4.89,82.56,0.37,3.09,9.24,2025-05-09,3,63.29,27.53,51.9,5,True,0,False
2025-06-02 12:30:00,AHU_002,4.12,80.97,0.49,2.41,9.6,2025-05-19,6,180.9,29.95,79.77,1,True,1,False
2025-06-02 12:45:00,SD_001,5.16,75.7,0.4,2.7,9.36,2025-03-12,8,147.73,27.95,30.32,10,True,2,False
2025-06-02 13:00:00,AHU_001,3.57,76.71,0.39,2.56,12.9,2025-04-06,1,42.0,29.63,39.88,0,True,0,False
2025-06-02 13:15:00,SD_001,4.86,82.27,0.53,2.35,6.5,2025-05-04,5,176.94,27.89,60.06,5,True,0,False
2025-06-02 13:30:00,AHU_002,5.46,84.67,0.41,2.34,8.18,2025-05-03,1,4.09,25.5,82.68,10,True,1,False
2025-06-02 13:45:00,AHU_001,4.47,78.39,0.73,2.09,11.46,2025-04-23,3,124.16,32.24,36.23,2,True,0,False
2025-06-02 14:00:00,SD_001,5.36,79.65,0.45,2.84,14.11,2025-04-06,6,168.25,32.59,60.14,2,True,1,False
2025-06-02 14:15:00,SD_002,5.58,83.34,0.47,2.46,8.27,2025-05-26,1,25.9,30.73,42.35,9,True,1,False
2025-06-02 14:30:00,SD_001,3.35,79.14,0.53,2.93,12.02,2025-05-23,8,9.05,27.69,42.96,8,True,0,False
2025-06-02 14:45:00,AHU_002,4.92,78.5,0.35,2.37,7.7,2025-04-09,5,177.76,26.82,80.49,10,True,1,False
2025-06-02 15:00:00,SD_002,3.56,76.22,0.55,2.41,9.22,2025-03-31,10,59.28,30.19,40.07,6,False,3,False
2025-06-02 15:15:00,SD_001,4.94,76.14,0.53,2.16,10.02,2025-04-21,7,133.04,26.69,34.09,2,True,0,False
2025-06-02 15:30:00,SD_001,5.0,93.34,0.47,2.41,8.62,2025-05-09,8,167.52,23.37,35.13,5,False,0,False
2025-06-02 15:45:00,AHU_001,3.76,79.02,0.53,2.13,9.16,2025-05-21,8,22.06,26.43,51.01,10,True,0,False
2025-06-02 16:00:00,AHU_002,5.96,86.83,0.54,2.62,7.27,2025-03-07,2,75.49,29.58,62.47,7,True,2,False
2025-06-02 16:15:00,SD_001,5.14,88.42,0.64,2.53,11.35,2025-04-16,8,145.38,27.74,30.69,2,True,0,False
2025-06-02 16:30:00,SD_001,4.58,79.08,0.75,2.94,8.2,2025-04-22,3,15.34,26.98,89.63,4,True,1,False
2025-06-02 16:45:00,SD_001,5.73,81.84,0.39,2.06,8.67,2025-04-22,7,149.68,24.71,86.34,4,True,1,False
2025-06-02 17:00:00,AHU_002,4.1,80.51,0.37,2.86,8.44,2025-04-28,10,176.13,22.92,57.92,10,True,1,False
2025-06-02 17:15:00,SD_002,4.39,71.94,0.51,2.21,8.54,2025-03-16,5,158.96,25.59,38.78,0,True,0,False
2025-06-02 17:30:00,AHU_002,3.85,72.24,0.29,2.6,10.29,2025-05-18,0,47.82,28.05,39.68,10,True,2,False
2025-06-02 17:45:00,AHU_001,5.9,80.24,0.56,2.16,10.13,2025-04-21,7,167.72,25.21,53.38,4,True,0,False
2025-06-02 18:00:00,AHU_001,5.17,77.88,0.51,2.56,15.04,2025-05-21,3,138.02,27.32,84.76,9,True,2,False
2025-06-02 18:15:00,AHU_002,5.33,89.46,0.54,1.75,9.51,2025-04-26,9,149.44,28.76,54.76,1,True,0,False
2025-06-02 18:30:00,SD_001,5.15,78.82,0.47,2.3,9.8,2025-04-28,0,149.51,29.31,53.24,8,True,0,False
2025-06-02 18:45:00,SD_001,5.29,89.75,0.53,2.53,12.67,2025-03-16,3,89.98,27.68,85.08,5,True,2,False
2025-06-02 19:00:00,SD_002,5.04,77.62,0.55,3.03,10.45,2025-04-19,2,180.22,22.84,89.62,10,True,2,False
2025-06-02 19:15:00,AHU_002,5.14,89.56,0.52,1.86,9.8,2025-04-20,1,24.78,28.03,53.03,1,True,1,False
2025-06-02 19:30:00,AHU_002,5.05,82.53,0.37,2.5,9.73,2025-05-11,9,191.74,26.48,87.75,10,True,2,False
2025-06-02 19:45:00,SD_001,4.7,82.82,0.52,2.34,10.39,2025-04-26,7,1.34,20.28,37.78,9,True,3,False
2025-06-02 20:00:00,AHU_001,4.98,77.44,0.69,1.93,11.95,2025-05-23,10,153.65,26.08,41.98,5,True,1,False
2025-06-02 20:15:00,AHU_001,5.14,82.88,0.52,2.16,12.69,2025-04-22,9,37.23,32.52,56.08,10,True,0,False
2025-06-02 20:30:00,SD_002,5.06,88.46,0.51,2.36,12.06,2025-04-27,5,12.92,27.38,52.95,4,True,3,False
2025-06-02 20:45:00,SD_002,4.26,79.28,0.66,2.64,10.93,2025-05-03,7,99.86,28.74,43.8,4,True,1,False
2025-06-02 21:00:00,AHU_001,4.33,78.3,0.43,2.53,10.42,2025-05-16,7,102.75,31.53,58.55,7,True,1,False
2025-06-02 21:15:00,AHU_002,5.54,78.77,0.59,2.11,14.08,2025-04-13,4,133.74,27.68,74.03,0,True,1,False
2025-06-02 21:30:00,SD_002,4.85,88.1,0.45,1.95,9.05,2025-03-06,1,118.91,27.12,39.41,3,True,1,False
2025-06-02 21:45:00,SD_001,5.29,84.28,0.61,2.63,11.4,2025-05-09,4,6.25,22.63,51.83,7,True,0,False
2025-06-02 22:00:00,AHU_002,4.45,87.24,0.58,2.44,12.35,2025-05-06,5,40.88,26.88,31.84,4,True,1,False
2025-06-02 22:15:00,SD_001,4.26,81.57,0.46,2.98,12.09,2025-03-19,10,143.2,26.01,87.31,9,True,4,True
2025-06-02 22:30:00,SD_002,4.58,80.2,0.47,2.39,8.48,2025-03-08,7,188.48,28.16,75.65,2,True,0,False
2025-06-02 22:45:00,AHU_001,4.89,82.12,0.6,2.84,15.63,2025-04-12,9,153.22,25.65,49.55,2,True,3,False
2025-06-02 23:00:00,SD_002,4.67,85.35,0.31,2.66,13.34,2025-03-23,1,197.12,25.22,40.43,0,True,2,False
2025-06-02 23:15:00,AHU_001,5.65,78.76,0.46,2.75,12.12,2025-04-02,6,24.86,20.19,61.83,3,True,1,False
2025-06-02 23:30:00,AHU_002,5.09,86.84,0.56,2.63,7.99,2025-04-24,8,191.69,29.66,43.46,6,True,1,False
2025-06-02 23:45:00,SD_002,5.92,81.83,0.47,2.64,11.96,2025-03-26,9,74.8,23.83,62.56,6,True,1,False
2025-06-03 00:00:00,SD_002,5.2,67.97,0.51,1.81,5.38,2025-05-12,8,112.08,28.84,54.42,7,True,1,False
2025-06-03 00:15:00,SD_002,3.79,84.42,0.3,2.43,9.54,2025-03-17,9,195.29,30.58,63.33,4,True,1,False
2025-06-03 00:30:00,AHU_002,5.53,73.64,0.41,2.3,10.21,2025-03-10,3,89.51,24.62,62.25,3,True,1,False
2025-06-03 00:45:00,SD_001,4.25,84.3,0.57,2.88,9.1,2025-03-10,9,62.94,31.82,30.32,2,True,1,False
2025-06-03 01:00:00,SD_001,5.12,84.51,0.42,2.2,13.17,2025-05-26,5,158.15,27.3,72.04,10,True,1,False
2025-06-03 01:15:00,AHU_001,4.61,81.65,0.37,2.42,10.21,2025-04-26,5,140.95,28.19,65.25,5,True,3,False
2025-06-03 01:30:00,SD_002,6.07,82.72,0.61,2.74,8.08,2025-03-04,6,4.37,25.79,66.3,10,True,4,True
2025-06-03 01:45:00,SD_001,5.72,85.49,0.55,2.59,11.51,2025-04-19,9,97.03,25.36,46.36,9,True,0,False
2025-06-03 02:00:00,AHU_002,4.63,77.52,0.39,2.55,10.8,2025-03-15,6,184.64,21.68,87.22,4,True,2,False
2025-06-03 02:15:00,SD_002,4.94,83.97,0.51,2.83,6.49,2025-05-25,9,109.42,32.81,52.43,10,True,0,False
2025-06-03 02:30:00,AHU_001,5.12,85.82,0.39,2.58,12.68,2025-03-08,1,122.69,20.49,44.65,4,True,3,False
